lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
78.75,-26.25,-23.045,-22.195,-19.822,-9.333,-0.679,8.501,12.855,6.145,-4.711,-13.896,-17.75,-20.4
78.75,-22.5,-24.313,-23.099,-19.375,-7.193,1.926,12.741,14.724,8.497,-1.794,-12.164,-17.547,-21.292
78.75,-18.75,-18.994,-19.39,-17.272,-7.68,-0.741,3.328,6.277,4.866,0.164,-5.431,-8.738,-13.777
76.25,90,-26.567,-27.906,-20.778,-7.876,0.438,4.713,7.422,6.344,1.25,-5.226,-10.607,-17.397
76.25,93.75,-26.17,-27.455,-20.593,-8.107,0.12,4.276,7.038,6.023,1.276,-4.606,-9.871,-16.44
76.25,97.5,-25.847,-27.217,-19.9,-7.551,0.288,4.35,7.287,6.172,1.414,-3.943,-9.082,-16.159
76.25,101.25,-30.999,-31.343,-22.649,-8.509,1.423,9.597,12.111,7.485,0.005,-8.745,-16.11,-23.651
76.25,105,-32.079,-32.235,-24.738,-11.404,-0.484,6.166,10.736,6.636,-0.462,-9.674,-17.08,-24.736
76.25,108.75,-26.611,-26.994,-20.908,-8.828,-0.683,3.315,6.444,5.43,0.991,-5.158,-10.588,-18.247
76.25,112.5,-27.208,-27.798,-21.054,-8.71,0.55,3.454,6.048,5.354,1.312,-4.972,-10.825,-18.726
76.25,-90,-30.26,-32.157,-23.666,-7.845,3.14,11.74,12.398,6.766,-1.129,-12.488,-20.027,-25.247
76.25,-86.25,-30.398,-31.879,-23.895,-8.772,2.113,10.712,11.708,6.377,-1.66,-11.86,-18.405,-24.028
76.25,-82.5,-31.567,-31.465,-23.58,-9.4,0.654,9.336,11.937,6.602,-2.985,-14.086,-20.846,-26.296
76.25,-78.75,-23.69,-25.348,-21.975,-10.15,-1.122,3.838,5.836,3.865,-1.485,-8.691,-13.119,-17.987
76.25,-67.5,-19.891,-23.703,-21.699,-13.055,-3.413,4.498,10.134,7.711,0.769,-9.135,-14.359,-16.763
76.25,-63.75,-17.62,-21.004,-19.369,-12.165,-3.163,3.754,9.328,6.733,0.955,-7.32,-11.43,-14.01
76.25,-60,-17.164,-19.054,-17.811,-11.333,-3.419,0.63,4.667,4.324,-0.446,-7.086,-10.652,-13.29
76.25,-56.25,-27.855,-25.648,-21.735,-15.687,-5.775,3.869,12.433,6.862,-2.571,-15.206,-20.786,-24.647
76.25,-52.5,-26.626,-25.616,-22.262,-16.185,-6.346,1.497,7.312,3.296,-6.229,-15.3,-19.722,-23.12
76.25,-48.75,-25.053,-25.254,-22.478,-16.406,-6.854,-1.545,2.379,-0.313,-9.675,-16.761,-20.241,-22.818
76.25,-45,-25.558,-26.89,-24.158,-17.162,-7.034,-1.242,3.617,-0.484,-10.237,-19.084,-22.632,-24.765
76.25,-41.25,-25.981,-27.974,-25.109,-16.936,-6.706,-0.695,6.276,1.314,-9.698,-20.292,-24.229,-26.045
76.25,-37.5,-25.609,-27.61,-24.956,-17.276,-7.367,-1.304,4.213,1.108,-10.221,-19.902,-23.856,-25.365
76.25,-33.75,-24.046,-25.49,-23.8,-18.04,-8.407,-2.437,-1.064,-3.086,-11.556,-18.147,-21.583,-23.01
76.25,-30,-22.551,-22.786,-21.933,-17.393,-7.654,-2.268,-1.102,-3.352,-11.671,-16.037,-18.469,-20.339
76.25,-26.25,-21.742,-20.773,-17.194,-8.868,-1.236,7.098,11.995,5.851,-4.184,-13.04,-16.658,-19.206
76.25,-22.5,-24.856,-23.886,-18.228,-6.872,1.36,12.002,14.232,8.642,-1.417,-12.398,-18.279,-21.74
73.75,71.25,-22.332,-23.323,-16.879,-6.354,0.922,4.397,7.197,6.276,2.49,-2.405,-6.953,-12.707
73.75,82.5,-25.316,-26.007,-17.639,-5.91,0.819,5.423,8.773,7.671,2.485,-3.747,-9.665,-17.134
73.75,86.25,-25.896,-26.193,-17.364,-5.484,1.435,6.191,9.561,8.237,2.704,-3.725,-9.913,-18.289
73.75,90,-28.859,-28.586,-18.755,-5.957,3.046,11.446,14.003,9.457,1.183,-8.388,-17.069,-23.274
73.75,93.75,-28.884,-28.632,-19.078,-6.286,2.496,10.776,13.291,8.695,0.904,-7.894,-16.359,-22.405
73.75,97.5,-28.518,-28.345,-18.875,-6.143,2.781,10.9,13.379,8.914,1.172,-6.765,-14.946,-21.542
73.75,101.25,-29.718,-29.323,-19.481,-6.333,3.025,11.67,14.177,9.409,1.02,-7.446,-16.071,-23.062
73.75,105,-31.262,-30.754,-20.685,-7.122,2.47,10.743,13.561,8.887,0.588,-8.425,-17.402,-24.507
73.75,108.75,-31.266,-30.596,-20.569,-7.046,1.997,9.933,12.608,8.368,0.456,-8.629,-17.613,-24.34
73.75,112.5,-31.184,-30.691,-20.672,-7.092,2.866,9.57,12.248,8.321,0.866,-8.56,-17.99,-24.61
73.75,116.25,-27.075,-27.194,-19.735,-7.762,0.858,4.616,7.448,6.919,2.053,-4.317,-12.007,-20.629
73.75,120,-29.375,-28.945,-20.481,-8.416,0.855,4.676,7.415,6.614,1.87,-3.992,-10.729,-20.741
73.75,123.75,-30.034,-29.607,-20.676,-8.239,0.843,5.076,8.075,6.719,1.55,-4.985,-12.006,-21.498
73.75,127.5,-29.456,-29.134,-20.752,-8.456,0.544,4.208,7.263,6.022,1.406,-5.43,-12.854,-21.707
73.75,-123.75,-26.339,-28.359,-20.657,-7.96,1.934,5.435,6.314,5.034,0.921,-4.948,-11.286,-19.296
73.75,-120,-25.87,-27.945,-21.086,-8.354,0.792,4.42,5.387,4.358,0.748,-4.272,-9.935,-17.545
73.75,-116.25,-25.918,-27.916,-21.256,-8.36,0.522,4.113,5.05,4.117,0.682,-3.61,-9.072,-16.308
73.75,-112.5,-25.691,-28.006,-21.321,-8.392,1.145,4.511,5.31,4.46,0.9,-3.244,-8.419,-15.637
73.75,-93.75,-25.57,-27.645,-20.336,-7.563,0.257,4.577,6.6,5.64,1.238,-5.06,-11.143,-18.007
73.75,-90,-29.044,-31.257,-21.715,-6.702,4.55,12.38,13.047,7.917,0.246,-9.452,-17.546,-22.935
73.75,-86.25,-29.371,-31.719,-22.484,-7.37,3.117,11.355,11.636,6.81,-0.297,-9.436,-16.756,-22.233
73.75,-82.5,-30.042,-30.609,-21.744,-7.83,0.903,9.341,11.326,6.581,-1.624,-11.683,-18.814,-24.381
73.75,-78.75,-23.347,-24.331,-19.355,-8.349,-1.069,3.508,5.015,4.187,-0.018,-6.399,-12.327,-18.055
73.75,-56.25,-16.849,-16.986,-14.784,-9.775,-2.855,5.013,10.301,8.258,2.897,-6.489,-11.225,-14.254
73.75,-52.5,-27.562,-26.117,-21.15,-14.781,-4.772,6.318,13.148,7.655,-1.785,-14.789,-20.61,-24.29
73.75,-48.75,-23.698,-23.433,-19.775,-14.195,-5.664,-0.342,5.553,2.386,-5.849,-14.655,-18.93,-21.469
73.75,-45,-24.586,-25.812,-22.449,-16,-7.021,-1.65,1.304,-2.118,-10.523,-18.668,-22.251,-24.356
73.75,-41.25,-25.357,-27.581,-24.074,-16.564,-7.377,-1.309,4.286,0.324,-9.715,-20.649,-24.481,-26.647
73.75,-37.5,-25.639,-27.87,-24.854,-17.82,-8.568,-2.153,1.689,-0.878,-10.947,-21.035,-24.93,-26.777
73.75,-33.75,-23.157,-24.854,-23.177,-18.157,-9.02,-3.308,-1.825,-3.997,-11.632,-18.541,-21.669,-23.197
73.75,-30,-19.848,-20.074,-17.123,-11.734,-3.895,3.517,5.175,1.891,-6.166,-12.517,-15.501,-17.795
73.75,-26.25,-19.794,-18.961,-14.041,-6.744,-0.133,9.358,12.535,7.398,-1.628,-10.427,-14.19,-17.021
73.75,-22.5,-22.119,-21.314,-15.472,-5.894,0.366,10.084,12.783,8.345,-0.431,-10.659,-15.952,-18.871
71.25,22.5,-10.081,-11.081,-5.576,-0.026,4.165,7.959,9.688,8.963,5.485,1.781,-2.893,-7.32
71.25,26.25,-8.349,-8.368,-3.893,1.013,5.637,8.699,10.235,9.497,6.171,2.771,-1.021,-4.89
71.25,30,-6.648,-6.804,-3.822,0.221,4.93,8.021,9.693,9.128,6.189,2.76,-0.659,-3.726
71.25,67.5,-20.474,-19.977,-13.23,-3.906,1.689,5.812,9.593,8.092,3.489,-1.814,-6.876,-12.886
71.25,71.25,-26.079,-24.407,-15.549,-4.624,4.007,10.664,13.146,9.223,2.629,-4.663,-11.626,-19.11
71.25,75,-20.548,-20.364,-14.24,-4.869,1.743,5.619,9.627,8.582,3.761,-1.805,-7.001,-12.904
71.25,78.75,-21.49,-20.711,-13.394,-4.038,1.827,6.264,10.763,9.418,3.926,-2.248,-8.264,-15.357
71.25,82.5,-27.858,-26.536,-15.953,-4.484,4.291,12.677,15.561,10.957,2.61,-6.325,-15.068,-22.496
71.25,86.25,-28.109,-26.222,-15.707,-4.43,4.871,13.636,16.392,11.531,2.823,-6.193,-15.119,-22.57
71.25,90,-27.514,-25.472,-15.954,-4.857,4.241,12.99,15.789,11.012,2.342,-6.705,-15.418,-21.835
71.25,93.75,-27.975,-26.359,-17.066,-5.789,2.626,11.406,14.317,9.745,1.407,-7.426,-15.941,-22.154
71.25,97.5,-28.241,-26.983,-17.337,-5.74,3.499,12.042,14.784,10.124,1.597,-7.139,-15.848,-22.255
71.25,101.25,-28.464,-27.43,-17.256,-5.317,4.286,13.013,15.68,10.939,1.867,-6.938,-15.963,-22.442
71.25,105,-29.318,-28.244,-17.699,-5.5,3.911,12.68,15.419,10.782,1.679,-7.235,-16.707,-23.251
71.25,108.75,-30.557,-29.381,-18.549,-5.879,3.713,12.369,15.159,10.55,1.421,-7.808,-17.788,-24.521
71.25,112.5,-31.5,-30.24,-19.098,-5.943,4.124,12.252,15.066,10.562,1.582,-7.924,-18.587,-25.503
71.25,116.25,-30.82,-29.491,-18.759,-5.914,4.128,11.866,14.535,10.582,2.002,-6.827,-17.249,-24.77
71.25,120,-31.742,-29.826,-18.792,-6.042,3.927,11.875,14.377,10.663,1.966,-7.01,-17.25,-25.12
71.25,123.75,-32.956,-30.679,-19.246,-6.152,4.265,12.25,14.527,10.74,1.701,-8.274,-19.291,-26.78
71.25,127.5,-32.243,-30.321,-20.289,-7.559,2.071,9.819,12.333,8.943,0.926,-9.355,-19.892,-26.782
71.25,131.25,-29.002,-28.009,-19.994,-7.955,0.727,5.436,8.557,7.838,2.454,-5.149,-12.778,-22.142
71.25,135,-29.078,-28.452,-20.694,-8.192,1.638,6.238,8.759,7.846,2.549,-4.696,-11.906,-21.113
71.25,138.75,-29.078,-28.717,-20.983,-8.626,0.437,5.761,7.832,7.02,2.086,-5.232,-11.95,-20.443
71.25,142.5,-29.234,-28.801,-21.016,-8.652,1.544,6.703,8.356,7.433,2.499,-4.52,-11.307,-19.759
71.25,146.25,-28.462,-28.367,-21.048,-8.924,1.882,6.878,8.316,7.35,2.668,-4.011,-10.719,-18.489
71.25,150,-27.557,-27.809,-20.876,-9.169,1.293,6.241,7.541,6.66,2.61,-3.516,-10.109,-17.123
71.25,153.75,-27.561,-27.275,-20.103,-8.721,1.333,5.82,7.054,6.213,2.508,-3.583,-10.694,-17.249
71.25,157.5,-26.963,-26.619,-20.092,-9.335,0.613,5.195,6.557,5.891,2.478,-3.343,-10.43,-16.462
71.25,-157.5,-22.812,-22.992,-15.953,-6.961,0.94,5.742,6.269,5.966,2.05,-2.978,-8.279,-14.174
71.25,-153.75,-21.161,-21.927,-16.039,-7.246,0.88,5.454,6.387,6.177,2.236,-2.441,-7.248,-12.336
71.25,-150,-20.574,-21.973,-16.126,-7.305,-0.277,4.276,5.839,6.011,2.225,-2.437,-7.389,-11.852
71.25,-123.75,-27.234,-27.58,-17.973,-5.419,5.281,12.403,13.717,9.145,1.397,-7.798,-16.912,-22.102
71.25,-120,-26.286,-27.22,-18.424,-5.892,3.207,10.657,12.175,7.944,0.806,-6.809,-14.51,-19.657
71.25,-116.25,-26.244,-27.552,-18.812,-5.826,4.313,10.791,12.013,7.989,1.049,-5.783,-13.631,-19.029
71.25,-112.5,-26.112,-27.602,-18.811,-5.878,4.095,10.554,11.486,7.758,1.001,-5.537,-13.511,-19.117
71.25,-108.75,-24.398,-26.887,-19.213,-6.382,1.843,5.581,6.9,6.022,1.513,-3.451,-9.4,-16.228
71.25,-105,-25.724,-27.988,-19.844,-6.658,2.121,5.375,6.489,5.851,1.628,-3.556,-9.835,-17.137
71.25,-93.75,-27.798,-29.887,-19.488,-5.88,3.353,11.186,12.091,8.052,0.803,-7.395,-16.639,-21.804
71.25,-90,-27.283,-29.517,-19.379,-5.578,5.342,13.239,13.726,8.878,1.05,-6.854,-15.094,-20.513
71.25,-86.25,-27.576,-29.763,-19.913,-6.151,3.481,12.114,12.472,7.893,0.575,-7.289,-14.843,-20.276
71.25,-82.5,-28.158,-29.77,-20.138,-6.517,3.337,11.806,12.659,7.78,0.199,-8.978,-17.165,-22.39
71.25,-78.75,-26.927,-27.684,-18.982,-6.633,1.804,9.811,11.435,7.248,-0.244,-9.52,-18.17,-23.127
71.25,-75,-22.506,-24.98,-18.909,-8.362,-0.558,4.025,5.311,4.954,1.243,-4.015,-9.036,-14.429
71.25,-71.25,-22.789,-24.545,-19.244,-8.52,-1.313,3.844,6.519,6.167,1.38,-5.479,-10.719,-14.971
71.25,-52.5,-25.512,-24.912,-18.697,-11.924,-1.48,10.911,15.123,9.868,1.389,-11.112,-17.776,-22.005
71.25,-48.75,-21.217,-21.098,-17.138,-12.443,-4.818,-0.991,6.92,4.972,-2.419,-12.362,-16.724,-19.139
71.25,-45,-23.054,-24.247,-21.099,-15.712,-7.367,-2.191,-1.423,-3.862,-10.933,-18.272,-21.492,-23.359
71.25,-41.25,-25.023,-26.726,-22.107,-14.902,-6.67,-0.315,3.897,0.627,-8.226,-19.6,-24.155,-26.352
71.25,-37.5,-24.906,-26.282,-22.419,-15.7,-7.36,-0.948,2.435,-0.393,-8.8,-19.078,-23.372,-25.579
71.25,-33.75,-21.329,-22.12,-19.73,-14.542,-6.712,-1.254,1.733,-1.027,-8.211,-15.459,-18.611,-20.627
71.25,-30,-18.37,-17.613,-12.945,-6.771,-0.999,8.012,11.184,6.991,-1.604,-10.081,-13.688,-16.412
71.25,-26.25,-20.309,-18.926,-12.736,-5.222,0.25,9.871,12.757,8.543,-0.05,-10.183,-15.098,-18.207
71.25,-22.5,-13.395,-14.144,-10.612,-4.121,-0.681,4.208,7.603,6.456,2.067,-4.244,-7.723,-10.157
68.75,15,-9.075,-8.666,-4.154,1.415,5.859,9.663,11.485,10.63,7.045,2.866,-2.333,-6.655
68.75,18.75,-3.831,-3.963,-1.171,2.553,6.915,10.027,11.958,10.971,7.853,4.75,1.594,-1.337
68.75,22.5,-16.1,-16.55,-9.618,-1.89,5,10.285,12.166,9.668,4.085,-1.339,-7.292,-12.566
68.75,26.25,-15.29,-14.667,-8.225,-1.134,6.865,11.373,12.889,10.446,4.989,-0.182,-5.746,-10.782
68.75,30,-13.916,-13.27,-7.894,-1.339,6.146,10.229,11.861,9.923,5.206,0.212,-4.962,-9.515
68.75,33.75,-8.012,-8.446,-6.136,-1.316,3.823,7.26,9.783,9.125,6.248,2.644,-1.123,-4.65
68.75,37.5,-9.362,-10.209,-7.499,-1.922,2.957,6.084,8.547,7.883,5.401,1.823,-1.979,-5.707
68.75,52.5,-15.03,-15.647,-11.491,-3.131,2.786,5.948,8.427,7.416,4.493,0.665,-3.851,-8.832
68.75,56.25,-15.415,-16.26,-12.082,-3.408,2.855,6.011,8.659,7.613,4.475,0.307,-4.444,-9.538
68.75,60,-15.418,-16.931,-12.45,-3.381,3.027,6.056,8.819,7.773,4.384,0.025,-4.932,-9.939
68.75,63.75,-16.543,-17.392,-12.068,-3.294,1.894,5.719,8.525,7.382,3.901,-0.593,-5.427,-10.34
68.75,67.5,-23.418,-21.099,-12.963,-3.339,5.42,11.742,13.875,9.916,3.336,-3.499,-10.474,-17.843
68.75,71.25,-24.58,-22.145,-13.356,-3.248,6.634,13.182,15.571,11.024,3.592,-3.712,-11.22,-18.904
68.75,75,-23.603,-21.496,-13.159,-3.419,5.964,12.598,15.582,11.263,3.793,-3.402,-10.64,-17.658
68.75,78.75,-24.591,-22.17,-13.101,-3.292,6.184,13.361,16.468,11.875,3.916,-3.965,-11.874,-19.29
68.75,82.5,-26.317,-23.435,-13.484,-3.322,6.609,14.642,17.528,12.561,3.867,-4.906,-13.712,-21.481
68.75,86.25,-27.044,-23.545,-13.492,-3.495,6.542,15.209,18.097,13.01,3.905,-5.15,-14.384,-22.249
68.75,90,-26.052,-22.633,-13.89,-4.281,4.497,13.635,16.68,11.881,3.037,-5.898,-14.38,-21.256
