lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
78.75,67.5,7.65,7.65,8.25,13.68,21.33,31.68,36.09,34.14,29.55,19.86,11.07,8.1
78.75,71.25,7.35,7.41,7.95,13.38,20.88,30.99,35.49,32.49,28.29,19.35,10.59,7.86
78.75,75,7.11,7.29,7.77,13.14,20.61,30.72,35.52,31.71,27.6,19.17,10.29,7.68
78.75,78.75,6.96,7.32,7.77,13.08,20.25,31.17,35.49,32.22,27.81,19.26,10.29,7.65
78.75,82.5,6.78,7.29,7.74,12.93,19.44,31.71,34.71,32.97,27.75,19.14,10.32,7.62
78.75,86.25,6.06,6.75,7.17,12,17.58,31.38,32.46,31.95,26.04,18.09,9.45,6.96
78.75,90,5.49,6.12,6.57,11.07,16.14,31.14,31.14,31.05,24.18,17.1,8.52,6.3
78.75,93.75,5.34,6.03,6.51,10.65,15.69,33.6,33.63,34.2,25.23,17.04,8.19,6.21
78.75,97.5,5.22,5.88,6.42,10.32,16.2,33,34.44,36.03,26.91,18.15,7.86,6.03
78.75,101.25,5.34,5.91,6.51,9.96,16.65,34.5,37.59,37.08,28.05,22.05,7.71,5.91
78.75,105,5.55,5.85,6.84,10.23,18.75,36.99,41.73,40.35,31.05,23.97,8.19,6.12
78.75,108.75,4.62,4.8,5.79,8.07,15.45,29.91,35.52,33.81,25.29,19.92,6.57,5.07
78.75,112.5,5.04,5.31,6.27,8.67,16.53,27.72,34.77,35.04,27.18,21.03,7.17,5.58
78.75,142.5,5.07,5.73,5.16,7.44,12.57,15.96,23.49,28.5,24.96,14.01,7.17,5.37
78.75,-105,4.8,4.92,5.31,6.87,14.07,20.85,24,33.27,25.89,14.97,8.4,6.39
78.75,-101.25,4.47,4.53,4.83,6.21,11.97,19.2,22.41,29.97,23.1,13.47,7.92,6
78.75,-97.5,4.74,4.89,5.25,7.11,13.44,20.88,23.82,32.76,27.6,16.41,8.88,6.45
78.75,-93.75,4.32,4.47,4.89,6.93,12.45,20.1,24.51,31.74,25.53,14.58,8.31,5.88
78.75,-90,4.32,4.35,4.95,7.53,13.71,20.67,24.99,32.61,28.74,16.71,8.58,5.82
78.75,-82.5,3.12,3.18,4.02,6.81,13.2,21.39,28.59,29.52,24.93,12.9,7.05,4.41
78.75,-78.75,3.45,3.42,4.44,7.5,14.58,29.19,39.3,34.59,25.71,12.99,7.71,4.86
78.75,-75,3.93,3.72,4.86,8.1,17.01,30.87,41.67,37.35,28.14,14.49,8.46,5.43
78.75,-71.25,4.65,4.17,5.43,8.91,18.66,29.46,42.69,39.03,32.07,18.96,9.81,6.3
78.75,-67.5,3.87,3.48,4.5,7.35,15.18,22.38,29.85,31.44,28.17,19.02,8.34,5.16
78.75,-63.75,4.5,4.2,5.55,9.09,15.96,20.22,28.92,34.32,32.34,23.16,10.23,6.15
78.75,-60,2.88,3.03,3.78,6.48,10.71,18.06,26.49,29.52,23.76,12.09,7.41,4.17
78.75,-56.25,3.06,3.06,4.11,7.56,12.57,27.09,36.18,36.48,27.51,13.74,8.37,4.62
78.75,-52.5,3.12,3.15,4.29,7.86,12.57,28.2,40.8,37.83,27.24,15.57,8.73,4.83
78.75,-48.75,3.66,3.45,4.77,8.7,14.28,38.55,55.59,41.07,28.08,16.35,9.24,5.55
78.75,-45,4.5,3.93,5.43,9.81,16.74,41.13,61.74,39.69,27.33,16.92,9.81,6.45
78.75,-41.25,5.01,3.99,5.52,9.99,18.18,42.57,62.88,38.88,27.27,17.37,9.78,6.84
