"","lat","lon","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"593","1650","-2025",28.5,28.5,45,50.1,58.2,86.1,111.6,102,77.1,61.8,45.3,35.4
"594","1725","-2025",23.1,23.1,35.7,50.7,53.4,72.3,91.2,95.7,79.2,60.3,42,31.8
"595","1800","-2025",14.7,15.3,23.4,38.7,36.9,44.1,63.6,63.9,66.3,41.7,29.1,24
"596","1875","-2025",11.4,12.6,19.5,33.6,32.7,43.5,57.9,61.2,62.7,39.9,27,20.4
"597","1950","-2025",8.4,9.3,13.2,25.2,27,38.1,53.7,50.1,54,31.8,23.1,15.9
"598","2025","-2025",7.2,8.1,11.1,24.3,27,45.6,58.8,53.4,51.3,29.4,20.4,13.8
"599","2100","-2025",8.7,9.6,12.3,24.6,36,54.9,69.9,71.7,63,45.6,30,15.3
"600","2400","-2025",8.4,8.4,9.9,14.1,25.8,36.3,45.3,52.8,48.6,41.4,24,10.5
"601","-2700","-1912.5",0,0,0,0,0,0,0,0,0,0,0,0
"602","-2625","-1912.5",4.8,7.2,8.1,6.9,6.9,6.6,5.7,5.4,5.1,5.4,4.8,4.8
"603","-2550","-1912.5",3.6,7.2,12.6,12.3,14.4,13.2,12.3,10.8,11.7,9.6,6.6,4.2
"604","-2475","-1912.5",3.9,6.6,13.8,13.8,17.4,16.5,15.6,14.1,15.3,10.5,6.9,3.6
"605","-2400","-1912.5",9.3,14.7,27.3,29.1,29.1,28.5,25.5,25.8,27,18,13.2,7.5
"606","-2325","-1912.5",20.7,34.8,45.3,46.2,38.4,36.6,31.2,33,32.4,24,24.3,17.7
"607","-2250","-1912.5",38.4,57.3,65.1,69,55.5,53.4,48.9,50.4,51.9,35.4,41.1,30.3
"608","-2175","-1912.5",65.7,83.7,108.9,120.9,98.4,86.7,81.9,71.1,76.8,60.9,59.4,51
"609","-2100","-1912.5",82.8,108.3,132.9,147.6,125.1,106.5,96.6,87.3,87.6,75.6,73.5,67.5
"610","-2025","-1912.5",68.1,90,105,116.1,108.3,94.2,84,79.5,75,64.5,63.9,57
"611","-1350","-1912.5",42.6,38.4,35.4,19.2,18.3,15,19.8,12.9,15.6,15.3,24.6,36.9
"612","-1275","-1912.5",55.8,47.4,48.9,32.4,22.5,16.5,20.4,13.5,18,18,31.8,47.4
"613","-1200","-1912.5",96.9,87,86.1,58.2,26.1,16.8,21,15.9,25.2,31.8,49.5,66
"614","-1125","-1912.5",114.9,116.7,104.7,72.9,30,17.4,21,17.4,28.5,34.2,49.8,70.8
"615","-1050","-1912.5",108,113.4,103.8,79.5,31.8,19.5,18.6,18.6,30.9,31.5,41.1,59.7
"616","-975","-1912.5",143.4,149.4,120.3,81.6,29.4,20.7,21.6,26.7,32.1,32.1,39,75
"617","-900","-1912.5",77.1,89.1,76.8,47.4,19.8,15.9,16.2,19.2,18.9,16.5,14.1,34.5
"618","-825","-1912.5",54.9,72.9,54.3,27.9,17.1,16.2,18,17.4,14.1,10.5,9,23.1
"619","-750","-1912.5",81.9,99.9,70.5,34.8,23.7,20.4,26.7,25.2,21.6,16.5,22.2,40.5
"620","-675","-1912.5",108.3,116.1,81.6,24.3,12.6,11.4,19.5,22.5,21.3,24.3,42.6,66.6
"621","-600","-1912.5",104.1,118.8,107.4,44.4,24,19.2,24.3,31.5,46.2,66.9,66.3,73.5
"622","-525","-1912.5",229.2,240.3,200.1,84,18.3,12,21.9,47.4,107.1,180,189,198.6
"623","-450","-1912.5",257.1,313.8,317.4,142.8,23.4,7.2,9,24.9,92.1,178.5,197.4,220.5
"624","-375","-1912.5",132.9,151.5,183.3,101.4,13.8,2.7,5.7,18.6,67.8,106.2,131.1,136.8
"625","-300","-1912.5",108.6,125.1,180.9,161.1,40.8,5.7,8.4,20.1,70.2,106.5,128.7,123
"626","-225","-1912.5",75.3,96.6,160.2,180.3,75.9,13.8,12.9,23.1,62.4,92.4,114.3,94.8
"627","-150","-1912.5",35.7,53.4,117.9,175.5,118.2,37.5,21.3,26.1,55.5,85.8,97.8,58.8
"628","-75.00 -","1912.5",14.1,24.3,65.7,132.6,151.5,84.3,45.3,34.5,51.3,70.8,70.8,33.9
"629","0.00 -","1912.5",3.6,9,30.9,86.7,142.8,136.2,79.2,48.3,58.8,64.5,48.3,13.8
"630","75.00 -","1912.5",0.3,1.8,3,18.9,51,103.8,88.2,57.6,60.6,48.9,21,1.8
"631","150.00 -","1912.5",0,0,0,0.9,1.5,11.7,18,16.8,17.4,12.9,2.4,0
"632","225.00 -","1912.5",0.6,0.3,0.3,0,0,0.6,3.9,6.6,4.5,3.3,0.6,0.3
"633","1275","-1912.5",151.2,139.5,127.2,99.9,91.5,124.8,97.8,114.3,82.8,92.1,127.5,125.7
"634","1350","-1912.5",110.7,106.2,101.1,78.6,85.8,153.6,141,126.3,70.8,79.5,100.5,87.9
"635","1425","-1912.5",87.9,88.8,88.5,74.4,88.8,172.2,152.7,132.6,79.8,85.5,83.4,78.6
"636","1500","-1912.5",60.9,62.7,70.5,69.3,86.7,163.2,153,136.5,88.2,82.8,63.3,63.3
"637","1575","-1912.5",40.8,43.2,58.2,61.2,77.4,132.3,150.9,129,87.9,72.3,52.5,46.2
"638","1650","-1912.5",27.3,28.8,44.4,54.3,63.9,82.8,107.4,103.2,78.9,60.3,43.8,33.6
"639","1725","-1912.5",17.7,19.2,27,40.8,43.2,48.6,62.7,72.3,60.6,43.8,31.8,23.7
"640","1800","-1912.5",16.8,19.2,27.3,42.3,41.7,36.3,57.9,71.1,70.5,43.5,32.1,27.3
"641","1875","-1912.5",13.2,15.9,22.8,38.4,45.9,47.7,82.5,84.3,80.1,45.9,29.4,24.3
"642","1950","-1912.5",8.7,10.2,13.5,27.3,34.5,39.9,65.7,61.8,62.4,34.8,23.1,16.8
"643","2025","-1912.5",10.2,11.7,15.3,32.7,45,43.8,76.8,75.6,75.3,51.6,36.6,19.5
"644","2400","-1912.5",8.1,8.1,9.6,14.1,25.8,25.5,31.2,51.6,52.2,44.4,24.6,10.5
"645","-2700","-1800",0,0,0,0,0,0,0,0,0,0,0,0
"646","-2625","-1800",4.2,6.9,8.1,6.9,6.9,6.6,5.7,5.4,5.1,5.1,4.5,4.2
"647","-2550","-1800",2.7,5.4,9.9,10.2,12.3,11.7,10.8,9,10.2,7.8,5.1,3.3
"648","-2475","-1800",4.2,6.3,13.2,13.2,17.1,15.9,14.7,13.5,15,9.6,6.6,3.6
"649","-2400","-1800",10.5,15,24.6,26.4,27.3,25.8,23.1,23.7,25.5,16.8,13.8,8.7
"650","-675","-1800",117.9,170.1,168.6,74.1,26.4,10.8,7.5,12.3,16.8,39.3,77.4,105.9
"651","-600","-1800",123,170.1,174.6,70.5,16.5,8.4,6.3,13.5,29.1,75.6,104.4,116.4
"652","-525","-1800",116.7,161.1,180.3,85.8,16.8,6,5.7,16.5,48.3,104.1,100.5,98.7
"653","-450","-1800",219,267.9,261.9,105.3,15,3.6,6.3,20.1,81,138.3,169.5,191.4
"654","-375","-1800",197.1,249,291.6,175.2,28.8,3,4.8,17.7,76.2,129.9,181.2,210.3
"655","-300","-1800",106.2,115.8,166.8,166.8,44.7,4.5,4.8,16.2,61.8,93.9,121.5,114.3
"656","-225","-1800",66.9,77.1,127.5,158.1,73.5,11.4,6.6,15.9,47.7,70.8,94.8,78.6
"657","-150","-1800",31.2,33.9,77.7,125.4,97.5,33.9,13.5,15.6,27.6,43.8,64.2,47.7
"658","-75.00 -","1800",14.1,14.1,45.9,103.2,123.9,80.1,33,20.1,25.8,36,50.1,28.8
"659","0.00 -","1800",0.9,2.4,10.5,39,72.9,88.2,42.6,24.9,24.9,27,20.4,4.8
"660","75.00 -","1800",0,0.3,0,5.1,18,60.9,56.7,24,15.9,12,5.1,0.3
"661","150.00 -","1800",2.7,1.2,1.2,2.1,2.7,24,54.6,48,28.5,17.7,11.4,4.5
"662","225.00 -","1800",1.8,3,3,2.1,1.8,1.8,2.7,4.5,6,4.8,2.7,0.9
"663","1350","-1800",140.7,133.2,122.1,90.6,93.9,146.7,124.5,140.7,97.2,99.9,117.6,113.4
"664","1425","-1800",101.4,99,95.7,73.8,93.9,165,152.4,142.2,89.7,87.9,89.7,86.1
"665","1500","-1800",74.7,75.3,79.2,75.3,94.5,158.1,168,146.7,95.4,88.2,73.8,72
"666","1575","-1800",45.3,48.6,62.1,69.3,88.2,132.9,163.5,145.2,97.5,76.8,56.7,49.8
"667","1650","-1800",30,34.2,50.1,60.9,75.3,88.2,112.8,117.3,90,63.6,47.4,39.3
"668","1725","-1800",27.6,30.6,43.2,62.4,68.7,56.4,80.1,101.4,94.2,67.5,47.1,38.1
"669","1875","-1800",11.7,15.6,20.1,30.9,35.7,27,62.4,68.7,69,37.2,26.1,22.2
"670","1950","-1800",10.5,12.9,16.2,31.2,36.9,29.4,66.3,69.3,73.5,42,29.4,19.8
"671","2250","-1800",4.8,5.4,8.1,11.7,16.8,27.9,36.6,43.2,38.1,23.7,15.9,9.3
"672","2325","-1800",4.2,4.5,6.9,10.5,15.9,22.2,25.8,40.8,40.2,22.8,12.3,7.5
"673","-2700","-1687.5",0,0,0,0,0,0,0,0,0,0,0,0
"674","-2625","-1687.5",3.9,6.6,7.5,6.6,6.6,6.3,5.4,5.1,4.8,4.8,4.2,3.9
"675","-2550","-1687.5",2.7,4.5,8.7,9.6,11.1,10.8,9.9,8.1,9.3,6.9,4.5,3
"676","-2475","-1687.5",3.3,5.7,12,12.3,16.5,15.6,14.1,12.9,14.7,9.3,6,3
"677","-2400","-1687.5",9,13.5,22.2,24,24.9,23.1,20.4,20.7,23.4,15,12.6,7.8
"678","-1125","-1687.5",79.8,67.5,80.7,91.2,75,57.6,51.9,36,33.6,31.5,47.7,52.8
"679","-900","-1687.5",51.9,47.4,42.6,44.4,30,19.5,17.4,10.2,12.9,18.3,27.9,38.7
"680","-825","-1687.5",68.4,66.3,45.9,29.7,19.8,15,14.4,9.6,11.1,17.7,31.5,41.7
"681","-750","-1687.5",80.1,94.2,64.2,28.5,13.5,11.1,10.5,11.4,11.4,24.6,42,56.1
"682","-675","-1687.5",122.7,149.4,105,35.7,6.3,8.1,8.4,12,20.7,52.5,77.1,98.4
"683","-600","-1687.5",144.9,202.2,161.1,47.7,5.7,6.3,8.7,14.4,34.5,75.6,98.1,116.7
"684","-525","-1687.5",184.8,240,210,76.2,7.5,3.3,6.6,14.1,53.4,106.5,132,161.4
"685","-450","-1687.5",237.3,312,304.8,142.8,18.3,2.1,4.5,16.5,76.8,152.7,193.8,226.5
"686","-375","-1687.5",208.2,258.3,308.1,200.7,35.1,2.1,3.6,15.6,85.5,148.8,190.2,211.2
"687","-300","-1687.5",118.5,126.3,176.7,174.6,44.1,2.7,3.3,12.9,56.4,87.3,117,118.2
"688","-225","-1687.5",78,82.2,124.8,151.8,69,9.3,5.7,14.1,35.1,54.6,79.8,82.2
"689","-150","-1687.5",50.1,47.7,97.8,142.5,106.2,34.5,11.7,12.9,17.1,29.7,54.3,60.3
"690","-75.00 -","1687.5",13.2,12.9,44.4,87.6,102,60.3,17.7,8.1,8.7,14.4,27.9,21.3
"691","0.00 -","1687.5",0.6,1.2,5.4,25.8,53.7,84.6,39.6,13.5,11.4,13.2,11.4,3
"692","75.00 -","1687.5",1.2,0.6,0.9,4.2,15.9,60,61.2,19.2,8.7,6.9,4.8,2.1
"693","150.00 -","1687.5",2.7,2.1,2.1,2.1,2.4,16.8,51.3,39,15.6,11.7,13.8,6.6
"694","1350","-1687.5",153.6,139.8,129.3,93.9,95.1,132.6,106.8,138.6,111.9,106.8,118.2,125.1
"695","1425","-1687.5",118.2,115.2,106.8,83.1,108.9,164.1,156,166.2,110.1,104.4,100.5,99
"696","1500","-1687.5",84.6,84.9,85.8,79.2,104.7,142.5,170.7,162.9,106.5,97.8,81.9,77.4
"697","1575","-1687.5",54.6,59.7,69,77.7,92.1,104.1,128.7,123,104.4,84.3,70.8,63
"698","2250","-1687.5",3.3,3.9,6,9.9,15,38.4,48.6,38.4,33.9,18,11.1,6.9
"699","2325","-1687.5",5.4,5.7,8.4,13.5,19.5,42.3,48,55.8,48.3,26.4,15,9.6
"700","-2700","-1575",0,0,0,0,0,0,0,0,0,0,0,0
"701","-2625","-1575",3.6,6.6,7.8,6.6,6.6,6.3,5.4,5.1,4.8,4.8,3.9,3.9
"702","-2550","-1575",2.1,3.9,7.2,8.7,9.9,10.2,9,7.2,8.7,6,3.6,2.7
"703","-2475","-1575",4.2,5.7,11.4,12,16.5,15,13.5,12.3,14.4,8.7,6.6,3.9
"704","-2400","-1575",8.4,12.6,22.5,23.7,24.6,22.2,19.2,19.8,22.5,14.7,12.6,7.2
"705","-1050","-1575",82.5,63.3,75.3,85.2,58.5,37.8,35.4,25.8,30.9,42,79.5,83.4
"706","-975","-1575",109.8,92.7,76.5,75,50.1,38.7,33.9,23.4,30.3,54.9,96.6,99.6
"707","-900","-1575",169.2,140.4,93.6,70.8,47.1,41.4,32.1,27.3,37.2,76.5,135.3,146.1
"708","-825","-1575",125.7,120.6,79.2,54.3,36.3,30.3,24.3,23.4,35.4,64.5,108.6,111.9
"709","-750","-1575",124.8,138.3,85.8,39.6,16.2,16.2,16.8,19.2,31.8,62.4,99,103.2
"710","-675","-1575",231,269.1,188.7,65.1,16.2,12,16.5,21.9,50.4,107.4,158.7,180.9
"711","-600","-1575",268.2,301.2,227.1,73.5,9.6,5.1,11.7,17.4,56.7,119.1,168.3,208.8
"712","-525","-1575",327,362.4,286.8,117.3,10.8,2.1,7.8,15.9,76.8,165.6,223.5,287.4
"713","-450","-1575",288.9,361.8,339,169.2,18.9,1.2,4.5,17.4,90.6,186.3,242.7,276.6
"714","-375","-1575",209.1,259.2,311.1,193.8,31.5,1.5,3.3,14.7,79.2,149.4,191.4,210
"715","-300","-1575",165.3,189.3,250.5,214.8,53.4,2.4,3.6,13.2,55.5,102.6,139.2,158.7
"716","-225","-1575",99.3,106.2,156.9,175.8,75.9,9,5.4,10.2,27.6,47.7,75.9,98.1
"717","-150","-1575",50.1,54,102,150.3,104.4,30.9,9.9,8.7,10.2,18.6,42,55.2
"718","-75.00 -","1575",9.6,10.8,33,76.2,91.5,53.1,11.4,2.7,2.7,5.7,13.8,12.3
"719","0.00 -","1575",3.9,3.3,13.5,48.3,84.3,104.7,38.1,4.8,3.3,4.5,8.1,7.2
"720","75.00 -","1575",9.9,3.9,8.7,21.9,39,97.8,109.8,28.2,7.5,4.5,15.3,19.2
"721","150.00 -","1575",1.2,0.6,0.6,1.5,1.5,14.7,52.8,41.7,16.5,10.8,14.7,6
"722","1425","-1575",139.2,131.7,118.8,95.4,111.6,133.5,122.4,166.8,136.2,118.2,113.7,111.9
"723","1500","-1575",86.1,88.2,83.4,75.6,90.3,98.7,117.6,128.4,109.2,92.7,81,79.5
"724","2175","-1575",5.4,6,8.1,14.4,17.4,29.1,42.9,49.5,45,24,17.4,10.8
"725","2250","-1575",6,6.3,8.7,15.3,27,66.6,84.3,60.9,49.8,25.2,16.2,10.5
"726","2325","-1575",3.3,3.6,5.1,8.7,13.5,36.3,39,34.2,30.6,15.6,9,6
"727","2400","-1575",5.4,5.7,7.8,11.7,15.6,31.2,42.6,51,43.8,29.7,17.4,8.1
"728","-2700","-1462.5",0,0,0,0,0,0,0,0,0,0,0,0
"729","-2625","-1462.5",3.9,7.5,7.8,6.3,6.3,6,5.1,4.8,4.5,4.5,4.2,4.5
"730","-2550","-1462.5",1.8,3.3,6.3,8.1,9.3,9.3,8.4,6.6,8.1,5.4,3.6,2.7
"731","-2475","-1462.5",4.8,6.3,11.7,12.3,16.8,15.6,13.8,12.6,15,9.3,7.2,4.8
"732","-2400","-1462.5",8.7,13.2,23.4,24.3,25.5,22.8,19.5,19.8,22.5,15,12.9,7.5
"733","-975","-1462.5",121.5,104.1,74.1,69.9,40.8,37.8,36.3,33.3,38.7,67.8,102.3,103.8
"734","-900","-1462.5",147.9,133.5,82.5,60.6,36,33.9,29.4,30.9,43.5,84.9,127.8,130.8
"735","-825","-1462.5",212.7,187.2,111,66,44.7,39.9,36.3,39.9,67.5,118.5,187.2,184.5
"736","-750","-1462.5",241.8,230.4,138,57,30.3,26.4,30.6,33.3,64.8,115.5,175.5,199.8
"737","-675","-1462.5",280.8,264.6,175.2,52.8,13.8,9,19.5,23.4,66.3,123.3,187.8,225.9
"738","-600","-1462.5",381.3,354.3,258.6,85.8,9.9,3.3,15.3,23.1,84.6,176.4,265.8,318
"739","-525","-1462.5",397.5,402,309.6,122.4,9.3,1.2,7.5,18.9,90.9,189.3,285,360
"740","-450","-1462.5",300,357.6,342.3,154.2,14.1,0.9,4.5,18,83.7,186.6,264.9,312
"741","-375","-1462.5",210.6,260.1,304.2,176.4,24.9,1.2,2.4,10.8,58.2,132.9,194.7,226.8
"742","-300","-1462.5",157.2,200.1,251.1,197.1,41.4,1.8,2.1,6.3,32.1,79.8,132.6,156.6
"743","-225","-1462.5",110.1,123.3,167.7,193.5,73.5,5.7,3.9,6.6,17.7,37.2,72,98.1
"744","-150","-1462.5",51,48.3,82.8,153.6,118.8,30,10.5,7.2,7.8,12.3,27.9,45
"745","-75.00 -","1462.5",21.6,13.5,27,105,146.7,110.4,45,13.8,3.6,1.5,6,16.2
"746","0.00 -","1462.5",34.8,20.1,43.2,111.3,142.8,160.2,78.3,13.2,1.2,0.9,7.8,34.5
"747","1875","-1462.5",21,22.2,31.2,45.9,60,71.4,114.3,123,115.5,69,45.6,33
"748","1950","-1462.5",13.2,12.6,19.5,31.5,28.2,51,77.4,78.3,65.7,48.9,37.2,23.1
"749","2025","-1462.5",10.5,9.9,12.9,22.8,21.3,31.5,48,60,51.9,36.6,27.3,17.4
"750","2100","-1462.5",9,8.7,11.4,22.8,25.8,42,59.4,65.4,56.4,32.4,21.6,14.4
"751","2175","-1462.5",6.3,6.6,8.4,16.2,22.2,41.4,57.9,55.2,44.7,21.9,14.1,10.5
"752","2250","-1462.5",3.9,3.9,5.1,10.8,17.7,44.4,55.8,38.4,31.8,15.9,10.5,6.6
"753","2325","-1462.5",3.6,3.6,5.1,9.3,16.2,44.1,50.1,36,32.4,17.1,10.2,6.3
"754","2400","-1462.5",6.3,6.6,8.7,12.6,17.7,51.9,66.9,58.5,45,28.2,17.4,9.3
"755","-2700","-1350",0,0,0,0,0,0,0,0,0,0,0,0
"756","-2625","-1350",3.6,6.6,7.2,6.3,6.3,5.7,5.1,4.8,4.5,4.5,3.9,3.9
"757","-2550","-1350",2.1,3,5.1,6.9,8.1,8.4,7.2,5.7,7.5,4.8,3.3,3
"758","-2475","-1350",4.5,5.4,9.6,10.8,15,13.8,12.6,10.8,12.9,8.1,6.3,4.5
"759","-2400","-1350",9.6,14.7,24.6,25.2,27.6,24.6,20.7,20.4,23.1,15.6,13.5,8.4
"760","-825","-1350",200.4,170.4,115.5,58.8,34.5,21.9,21.3,28.8,51.6,83.1,129.3,150.9
"761","-750","-1350",216,183,138.6,47.1,21.9,12.6,18,24.3,49.2,91.8,146.7,183.9
"762","-675","-1350",279.9,253.8,180.9,54,16.5,9.3,21.3,27,78,148.8,219,267.3
"763","-600","-1350",271.8,270.3,187.8,56.4,6.9,2.1,10.2,17.4,66.9,140.4,212.1,267.3
"764","-525","-1350",358.5,389.4,307.2,98.4,7.5,0.9,7.8,24,102.6,208.5,324.9,376.2
"765","-450","-1350",246,293.4,302.1,113.1,8.7,0.6,3.3,15,70.2,163.2,254.1,288.9
"766","-375","-1350",181.8,238.8,273.3,136.8,15.6,0.6,2.1,6.3,34.8,98.4,170.1,207
"767","-300","-1350",127.8,186.3,222,164.4,27.6,0.9,1.8,2.7,12.3,42,91.8,119.7
"768","-225","-1350",113.7,145.8,176.4,189.3,57.9,3,1.8,3.6,6.9,21.3,54,80.7
"769","-150","-1350",81.3,95.1,138,217.8,143.7,29.4,6,3.6,4.2,5.4,20.7,49.8
"770","1875","-1350",17.1,15.9,23.7,39,55.8,52.2,85.8,90.3,98.1,54.9,41.7,28.2
"771","1950","-1350",9.9,8.1,13.5,22.2,21.9,34.8,50.1,52.8,48.9,35.4,28.8,17.1
"772","2025","-1350",9.9,8.7,13.5,23.1,23.7,33.3,48.3,57.6,50.7,33,23.4,15.3
"773","2100","-1350",9.3,8.7,12,24.9,28.2,38.1,52.2,60.6,54.9,32.7,21.3,15.3
"774","2175","-1350",5.7,6,7.8,15.9,21,35.4,47.4,45,39.3,22.2,13.5,9.6
"775","2250","-1350",4.5,4.5,6,12.6,18,48.6,65.1,42,33,18.3,13.2,7.8
"776","2325","-1350",4.8,4.5,5.7,10.5,18,47.1,58.5,37.2,32.4,18.9,11.7,7.2
"777","2400","-1350",7.8,8.1,9.9,14.4,21.6,61.8,77.7,60.6,43.8,29.4,17.7,10.5
"778","-2700","-1237.5",0,0,0,0,0,0,0,0,0,0,0,0
"779","-2625","-1237.5",3,5.4,6.6,5.7,5.4,5.4,4.5,4.5,4.2,3.9,3.3,3.3
"780","-2550","-1237.5",2.4,2.7,4.5,6,7.2,7.2,6.3,4.8,6.6,4.2,3,3.3
"781","-2475","-1237.5",4.5,5.4,8.4,9.9,13.8,12.6,11.7,9.6,12,7.2,6,4.8
"782","-675","-1237.5",150.9,139.5,140.1,55.8,18.9,8.4,17.7,33.3,85.5,153.9,189.3,211.8
"783","-600","-1237.5",275.1,236.1,183,64.5,18.9,12.9,20.7,45.6,109.5,198.9,254.1,295.5
"784","-525","-1237.5",187.5,204.3,198.3,57.6,5.7,1.5,3.6,13.8,68.4,161.1,232.2,240.9
"785","-450","-1237.5",142.5,193.8,229.8,79.8,9.3,0.6,2.7,9.9,49.8,128.7,188.1,202.8
"786","-375","-1237.5",102.3,176.4,230.4,104.1,12.6,0.3,1.5,3.3,17.4,58.8,102,128.1
"787","-300","-1237.5",66.6,123.6,167.4,110.4,15,0.9,0,0.9,3.6,13.5,35.4,56.7
"788","-225","-1237.5",71.4,121.2,146.7,149.4,33.9,1.8,0,0.9,2.1,6.9,22.5,41.1
"789","-150","-1237.5",65.4,99.6,143.4,205.8,114.3,15,1.5,1.2,0.6,2.1,11.1,33.3
"790","1800","-1237.5",59.1,49.5,65.7,94.8,111.6,92.7,125.7,152.4,169.5,118.5,103.5,78.3
"791","1875","-1237.5",38.4,29.4,41.7,75.6,98.1,93.3,128.7,123,138.6,92.4,87.6,62.7
"792","1950","-1237.5",17.4,13.8,21.6,37.5,42.3,43.5,60.3,64.8,68.7,49.8,41.7,27.9
"793","2025","-1237.5",9.6,8.7,14.1,22.5,25.5,47.1,60,59.7,51.6,31.8,21.6,15
"794","2100","-1237.5",8.4,8.4,12,22.2,25.2,51.3,63.6,58.8,51,29.4,18.9,13.8
"795","2175","-1237.5",6.9,6.6,9,18.9,23.4,48.6,61.2,52.2,43.5,27,17.7,12.3
"796","2250","-1237.5",5.7,5.4,7.5,15,19.2,51,67.2,48.3,36.9,22.2,15.3,10.2
"797","2325","-1237.5",6.3,5.7,6.6,12.6,20.7,55.2,67.8,42,33.6,21.9,13.2,8.4
"798","2400","-1237.5",8.4,8.1,9.3,13.8,22.5,63.6,77.4,58.2,42,31.8,18,10.2
"799","-2700","-1125",0,0,0,0,0,0,0,0,0,0,0,0
"800","-2625","-1125",3.6,6.6,7.2,5.7,5.4,5.1,4.5,4.2,3.9,3.9,3.6,3.9
"801","-2550","-1125",2.1,2.4,3.6,4.8,5.7,6,5.4,3.9,5.7,3.6,2.7,3
"802","-2475","-1125",4.5,5.4,7.8,9.6,12.9,12,11.1,8.7,11.1,6.9,5.7,5.4
"803","-525","-1125",49.8,81.3,148.5,122.1,42.9,20.4,22.5,31.8,65.7,123,147,130.2
"804","-450","-1125",46.8,85.8,141,75,23.7,3.3,4.5,6.6,25.8,69,91.2,98.7
"805","-375","-1125",28.5,68.7,111.9,63,17.7,0.9,0.3,1.2,5.1,18.3,30,40.8
"806","-300","-1125",22.2,60.9,95.7,74.1,18,2.4,0,0.3,0.6,2.4,7.8,19.2
"807","-225","-1125",34.2,79.5,108.6,133.5,45.9,5.7,0,0.3,0,0.3,3.6,13.5
"808","-150","-1125",45.6,79.5,122.1,178.5,110.7,20.7,0.6,0.3,0,0,2.4,16.8
"809","1950","-1125",25.2,20.1,29.1,49.2,56.4,42,57.3,68.1,89.1,66.3,60,40.8
"810","2025","-1125",11.4,9.9,16.2,24.9,29.7,66.6,77.7,64.2,58.2,35.7,24.6,18
"811","2100","-1125",6.9,6.9,10.8,18.3,21.3,65.7,80.1,57.6,46.2,23.1,14.4,11.4
"812","2175","-1125",6.9,6.6,9.9,20.4,26.4,68.1,84.3,62.4,48.6,26.4,16.5,12.3
"813","2250","-1125",6,5.7,8.4,16.5,21.3,58.5,75.6,57,43.2,26.4,15.9,11.1
"814","2325","-1125",6,5.4,6.6,12,18.9,55.5,66,43.5,32.4,22.2,13.2,8.4
"815","2400","-1125",4.5,3.9,4.5,6.9,11.4,36.3,40.5,29.1,22.5,19.5,11.4,5.7
"816","-2700","-1012.5",0,0,0,0,0,0,0,0,0,0,0,0
"817","-2625","-1012.5",3.3,5.4,6.6,5.7,5.7,5.4,4.5,4.5,4.2,4.2,3.3,3.6
"818","-2550","-1012.5",2.4,2.1,2.7,3.9,4.8,5.1,4.5,3.3,4.8,3,2.4,3.3
"819","-2475","-1012.5",5.1,6.3,8.7,10.5,13.5,12.9,12,9,11.7,7.5,6.6,6.3
"820","1950","-1012.5",49.5,38.7,51.6,80.4,94.8,69.9,106.2,107.7,139.2,120.9,109.8,75.9
"821","2025","-1012.5",18.9,16.5,23.7,35.7,51,48.3,72,87.6,86.7,61.5,42.9,30.3
"822","2100","-1012.5",6.3,6,9.6,15.3,21.6,77.1,87.9,52.2,42,20.4,12.6,9.9
"823","2175","-1012.5",5.7,5.4,9.6,19.2,30,93,124.5,81.3,50.7,23.7,13.2,10.8
"824","2250","-1012.5",5.4,5.1,8.4,15.3,22.8,52.8,66,55.2,46.2,26.4,14.7,9.9
"825","2325","-1012.5",6.3,5.7,7.5,13.8,20.1,55.8,69.6,48,36.9,25.2,14.4,9.6
"826","2400","-1012.5",5.1,4.2,5.1,9.3,15.6,38.7,44.7,33.6,29.4,24.3,13.8,6.6
"827","-2700","-900",0,0,0,0,0,0,0,0,0,0,0,0
"828","-2625","-900",3.6,5.7,6.6,5.4,5.4,5.1,4.5,4.2,4.2,4.2,3.6,3.9
"829","-2550","-900",2.1,2.1,2.7,3.6,4.2,4.5,3.9,3,4.2,2.7,2.4,3.3
"830","-2475","-900",4.5,3.9,6,8.7,11.1,10.8,10.2,7.2,9.6,6,4.8,5.7
"831","-2400","-900",9.6,12.3,18.6,23.1,26.4,25.2,20.4,17.4,21,13.5,10.8,10.2
"832","2025","-900",25.8,20.7,30.6,49.8,64.8,45.3,54.6,69,89.7,85.5,64.5,42.3
"833","2100","-900",15.3,12.9,19.2,28.5,44.7,54.6,72,74.1,68.1,46.5,29.4,21.3
"834","2175","-900",5.4,4.8,8.1,14.4,27,49.2,75.9,64.8,46.5,19.2,10.2,9
"835","2250","-900",3.9,3.6,6,10.8,18.9,45.3,59.4,43.2,36,20.4,10.8,7.2
"836","2325","-900",6.9,6,9,15,21.3,30.9,37.2,40.8,40.5,27.9,16.8,11.1
"837","2400","-900",9.6,7.8,9.6,14.7,22.8,41.4,57.3,54.9,45.3,34.5,20.4,11.7
"838","-2700","-787.5",0,0,0,0,0,0,0,0,0,0,0,0
"839","-2625","-787.5",3.3,4.8,5.1,4.2,4.2,4.2,3.6,3.3,3.6,3.3,3,3.6
"840","-2550","-787.5",2.7,2.4,3,3.3,3.9,4.2,3.6,2.7,4.2,3,2.7,3.9
"841","-2475","-787.5",5.1,4.2,6,7.8,9.9,10.2,9.3,6.6,8.7,5.7,5.1,6.3
