lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
78.75,22.5,15.72,12.21,17.55,19.08,22.2,27.39,37.95,49.59,45.57,44.46,29.7,26.07
78.75,26.25,15.75,12.18,17.52,19.38,23.13,28.5,36.3,50.22,45.21,43.56,29.13,24.9
78.75,30,17.37,13.32,19.05,22.17,28.44,40.92,49.65,59.94,50.94,47.49,33.12,27.06
78.75,33.75,16.38,12.48,17.49,21.39,27.3,42.6,50.19,59.85,47.85,42.84,32.4,25.62
78.75,37.5,19.68,15.33,20.91,29.19,35.19,67.71,75.48,75.81,60.99,52.23,37.05,27.63
78.75,41.25,16.26,12.06,15.87,20.22,20.61,29.85,37.17,51.69,43.83,39,30.6,23.97
78.75,60,19.86,16.02,19.44,26.73,26.31,34.89,38.34,55.62,54.54,44.88,35.88,29.1
78.75,63.75,18.54,15.36,19.59,28.05,30.3,46.2,48.09,60.63,57.96,45.27,36.66,25.89
78.75,67.5,19.83,16.32,21.72,33.84,38.01,70.83,74.58,74.22,66.9,47.91,35.25,26.88
78.75,71.25,16.62,13.35,18.39,30.54,35.88,71.07,74.13,70.83,65.04,43.68,31.2,24.81
78.75,75,12.42,9.81,14.28,25.32,31.11,62.58,66.15,60.99,57.57,35.28,23.76,18.93
78.75,78.75,13.86,11.25,16.44,29.76,37.05,62.4,70.56,67.65,69.63,42.06,27.75,22.38
78.75,82.5,14.16,11.91,17.52,29.01,42.27,64.77,75.9,71.85,73.65,40.83,28.65,24.72
78.75,86.25,13.86,12.09,17.37,28.38,40.08,54.48,64.26,65.76,72.45,40.11,27.6,24.99
78.75,90,12.84,11.7,15.87,23.97,31.38,39,49.8,53.49,62.85,38.01,27.03,24.57
78.75,93.75,14.01,12.99,16.95,24.75,29.07,27.12,40.68,49.47,60.36,39.27,28.95,27.66
78.75,105,12.12,13.35,14.94,24.9,27,35.19,42.57,43.59,48.24,37.05,28.02,20.91
78.75,108.75,11.82,12.75,13.44,24.09,25.86,29.79,35.25,41.34,44.82,36.21,28.29,21.42
78.75,116.25,11.16,11.82,11.49,24.21,28.35,32.52,37.68,48.87,42.06,36.33,28.71,22.71
78.75,120,12.93,13.92,14.64,31.17,40.02,71.04,67.47,72.72,51.51,38.19,26.91,20.31
78.75,123.75,12,12.51,13.29,27.24,37.29,65.34,63.54,67.65,50.34,33.78,22.98,17.37
78.75,127.5,11.67,11.88,12.36,22.23,33.18,47.43,49.38,60.3,48.84,32.55,22.29,17.1
78.75,131.25,13.08,12.96,14.07,25.23,34.32,43.02,47.67,61.62,55.65,36.72,24.72,19.53
78.75,135,12.45,11.91,12.51,20.61,29.01,30.78,36.78,51.24,50.04,33.15,25.56,20.7
78.75,138.75,14.25,12.9,13.08,21.06,26.52,24.15,32.82,46.65,51.18,34.65,27.81,24.12
78.75,157.5,16.47,14.07,13.68,22.86,26.07,34.11,31.05,32.55,50.76,33.93,31.17,25.5
78.75,161.25,16.86,14.64,14.34,23.52,27.12,38.52,36.21,35.22,52.02,34.59,31.98,24.72
78.75,165,17.61,16.23,16.14,27.87,33.3,58.05,57.36,47.37,54.09,35.37,29.85,23.13
78.75,168.75,16.71,16.11,15.57,27.03,32.34,54.51,58.77,44.79,53.43,35.25,29.61,22.77
78.75,172.5,16.05,16.17,14.97,26.55,32.76,50.55,59.64,43.89,52.2,35.07,29.55,22.41
78.75,176.25,17.22,17.85,15.57,27.96,34.59,51.84,61.59,44.22,55.74,38.61,32.91,24.69
78.75,180,16.26,17.28,13.83,25.35,32.67,51.09,54.03,35.73,50.94,35.37,31.17,23.16
78.75,-176.25,17.04,18.27,13.86,25.71,33.84,54.72,52.71,35.28,52.05,36.36,32.49,23.94
78.75,-172.5,19.65,20.31,15.6,27.84,32.88,49.14,45,34.11,55.5,41.46,37.47,27.75
78.75,-168.75,19.98,18.93,14.73,24.03,26.82,31.8,28.59,29.4,52.26,40.65,37.77,29.91
78.75,-165,22.56,20.25,16.53,26.01,29.31,31.89,30.54,32.52,54.81,43.11,39.87,31.74
